東京,0.000000,1,1,1
古岡,12.745608,0,1,1
絵寒町,32.107649,0,0,1
沙芦公園,45.037138,0,0,1
形顔,52.773422,0,1,1
油交,60.930427,1,1,1
通墨山,72.915666,0,0,1
初野,80.517696,0,1,1
樺威学園,96.053004,0,1,1
塩鮫公園,112.665386,0,1,1
山田,119.444708,0,0,1
表岡,131.462232,0,0,1
並取,149.826976,0,0,1
細野,166.909255,0,0,1
住郷,182.323457,0,0,1
管英,188.887999,0,0,1
気川,207.599747,0,1,1
桐飛,217.900353,0,0,1
樫曲町,229.697609,0,0,1
依酒山,244.770170,0,0,1
堀切町,251.948590,0,0,1
葉千,269.009280,0,0,1
奥山,275.384825,0,0,1
鯉秋寺,284.952294,0,0,1
伍出,291.499545,0,0,1
杏高公園,310.086023,0,0,1
荒川,325.553902,1,1,1
磯川,334.561908,0,0,1
茶川,343.842013,0,1,1
八実学園,355.192588,0,1,1
梓金,374.584703,0,1,1
鯉田,381.847874,0,1,1
鳴門,393.244289,0,0,1
曲徳町,411.802367,0,0,1
彩岬山,420.375925,0,0,1
根永,428.829478,0,1,1
鹿近川,445.676144,0,0,1
結広,457.246917,0,1,1
庵金公園,474.044387,0,1,1
近岡,487.270404,0,0,1
威香,504.163580,0,0,1
名古屋,519.612391,1,1,1
錦太学園,531.408202,0,0,1
和錦台,548.584849,0,0,1
稲冬台,554.215596,0,0,1
松港山,572.885503,0,0,1
甘桜,584.344724,0,0,1
根左海岸,603.713433,0,0,1
島威寺,614.711098,0,0,1
月朱野,633.406177,0,0,1
芋呉川,640.097895,0,1,1
木南,657.573946,0,0,1
鳩平ヶ丘,677.211495,0,0,1
維荻学園,689.581633,0,0,1
保池,696.405431,0,1,1
九野,711.087956,0,1,1
桜田,728.268005,0,0,1
霞苑野,735.983348,0,1,1
夷太寺,744.581560,0,0,1
甘野,751.340202,0,0,1
遠山,770.125141,0,1,1
銀正,788.163214,0,0,1
末国,799.939778,0,0,1
泉別川,807.476895,0,1,1
京都,819.772794,1,1,1
桜内,833.349255,0,1,1
荻葛ヶ丘,839.298450,0,1,1
雨墨,853.080719,0,1,1
桂綾寺,863.842723,0,1,1
宇治,869.266132,1,1,1
塚手海岸,878.247393,0,1,1
垣通海岸,893.724394,0,0,1
雨稲ヶ丘,900.098745,0,1,1
森果川,909.518544,1,1,1
舟田,919.249073,0,0,1
形利,938.540025,0,0,1
午万台,954.151248,0,0,1
早森野,966.498192,0,0,1
桐氷野,975.568259,0,1,1
条川,990.339004,1,1,1
菊岡,1005.597665,0,1,1
大阪,1024.983484,1,1,1